subject,domain,chapter,skill,subskill,importance,exercise_count,family_count,official_count,archive_derived_count,brevet_style_count,ai_generated_count,consolidation_count,current_level_count,stretch_count,brevet_count,correction_coverage,asset_completeness,coverage_status
PHYSICS_CHEMISTRY,Mouvements et interactions,Mouvement et vitesse,Décrire un mouvement,,HIGH,32,13,0,5,0,0,,,,,1.0,1.0,PARTIAL
PHYSICS_CHEMISTRY,Mouvements et interactions,Mouvement et vitesse,Vitesse,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
PHYSICS_CHEMISTRY,Mouvements et interactions,Forces et interactions,Identifier des forces,,HIGH,40,11,0,8,0,0,,,,,1.0,1.0,COMPLETE
PHYSICS_CHEMISTRY,Mouvements et interactions,Forces et interactions,Effets des forces,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
PHYSICS_CHEMISTRY,L'énergie,Formes et conversions d'énergie,Formes d'énergie,,CRITICAL,44,13,0,8,0,0,,,,,1.0,1.0,PARTIAL
PHYSICS_CHEMISTRY,L'énergie,Formes et conversions d'énergie,Chaînes énergétiques,,CRITICAL,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
PHYSICS_CHEMISTRY,L'énergie,Électricité et circuits,Circuits électriques,,HIGH,40,11,0,8,0,0,,,,,1.0,1.0,COMPLETE
PHYSICS_CHEMISTRY,L'énergie,Électricité et circuits,Grandeurs électriques,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
PHYSICS_CHEMISTRY,Des signaux pour observer et communiquer,Lumière et signaux lumineux,Propagation de la lumière,,HIGH,32,13,0,5,0,0,,,,,1.0,1.0,PARTIAL
PHYSICS_CHEMISTRY,Des signaux pour observer et communiquer,Lumière et signaux lumineux,Lentilles et images,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
PHYSICS_CHEMISTRY,Des signaux pour observer et communiquer,Son et signaux sonores,Propagation du son,,MEDIUM,30,11,0,5,0,0,,,,,1.0,1.0,COMPLETE
PHYSICS_CHEMISTRY,Des signaux pour observer et communiquer,Son et signaux sonores,Caractéristiques d'un son,,MEDIUM,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
SVT,"La planète Terre, l'environnement et l'action humaine",Dynamique de la Terre,Structure de la Terre,,HIGH,32,13,0,5,0,0,,,,,1.0,1.0,PARTIAL
SVT,"La planète Terre, l'environnement et l'action humaine",Dynamique de la Terre,Risques géologiques,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
SVT,"La planète Terre, l'environnement et l'action humaine",Écosystèmes et environnement,Relations au sein d'un écosystème,,HIGH,32,13,0,5,0,0,,,,,1.0,1.0,PARTIAL
SVT,"La planète Terre, l'environnement et l'action humaine",Écosystèmes et environnement,Action humaine,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
SVT,"La planète Terre, l'environnement et l'action humaine",Climat et changements globaux,Effet de serre et climat,,HIGH,32,13,0,5,0,0,,,,,1.0,1.0,PARTIAL
SVT,"La planète Terre, l'environnement et l'action humaine",Climat et changements globaux,Enjeux environnementaux,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
SVT,Le vivant et son évolution,Organisation cellulaire,Cellule et organisme,,MEDIUM,30,11,0,5,0,0,,,,,1.0,1.0,COMPLETE
SVT,Le vivant et son évolution,Organisation cellulaire,Micro-organismes,,MEDIUM,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
SVT,Le vivant et son évolution,ADN et génétique,ADN support de l'information,,CRITICAL,42,13,0,8,0,0,,,,,1.0,1.0,PARTIAL
SVT,Le vivant et son évolution,ADN et génétique,Hérédité,,CRITICAL,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
SVT,Le vivant et son évolution,Évolution des espèces,Mécanismes évolutifs,,HIGH,40,11,0,8,0,0,,,,,1.0,1.0,COMPLETE
SVT,Le vivant et son évolution,Évolution des espèces,Arguments de l'évolution,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
SVT,Le vivant et son évolution,Reproduction,Reproduction sexuée,,MEDIUM,30,11,0,5,0,0,,,,,1.0,1.0,COMPLETE
SVT,Le vivant et son évolution,Reproduction,Développement,,MEDIUM,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
SVT,Le corps humain et la santé,Nutrition et digestion,Aliments et besoins,,HIGH,32,13,0,5,0,0,,,,,1.0,1.0,PARTIAL
SVT,Le corps humain et la santé,Nutrition et digestion,Digestion,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
SVT,Le corps humain et la santé,Respiration et circulation,Respiration,,HIGH,32,13,0,5,0,0,,,,,1.0,1.0,PARTIAL
SVT,Le corps humain et la santé,Respiration et circulation,Circulation,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
SVT,Le corps humain et la santé,Immunité et santé,Défenses de l'organisme,,CRITICAL,45,13,0,8,0,0,,,,,1.0,1.0,PARTIAL
SVT,Le corps humain et la santé,Immunité et santé,Prévention et traitements,,CRITICAL,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Objets et systèmes techniques,Analyser un objet technique,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Objets et systèmes techniques,Évolution des objets,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Chaîne d'information,Acquérir et traiter,,HIGH,32,13,0,5,0,0,,,,,1.0,1.0,PARTIAL
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Chaîne d'information,Commander,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Chaîne d'énergie,Flux d'énergie,,HIGH,34,13,0,5,0,0,,,,,1.0,1.0,PARTIAL
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Chaîne d'énergie,Bilans énergétiques,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Conception et modélisation,Démarche de conception,,HIGH,34,13,0,5,0,0,,,,,1.0,1.0,PARTIAL
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Conception et modélisation,Modélisation,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques","Informatique, algorithmique et programmation",Algorithmique,,CRITICAL,32,13,0,5,0,0,,,,,1.0,1.0,PARTIAL
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques","Informatique, algorithmique et programmation",Programmer,,CRITICAL,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Réseaux et données,Architecture des réseaux,,HIGH,32,13,0,5,0,0,,,,,1.0,1.0,PARTIAL
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Réseaux et données,Données et sécurité,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Impacts et développement durable,Impacts des objets techniques,,HIGH,32,13,0,5,0,0,,,,,1.0,1.0,PARTIAL
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Impacts et développement durable,Choix responsables,,HIGH,12,12,0,0,0,0,,,,,1.0,1.0,PARTIAL
